Alignment	Theta	Pi	TajimasD
lineage2_CAP_susceptible	0.000189047002066	3.24767261487e-05	-2.58651760054
lineage2_EMB_susceptible	0.000229553268185	3.58565316235e-05	-2.628308597
lineage2_MOX_susceptible	0.000132069163597	2.93957231143e-05	-2.48663966067
lineage2_PRO_resistant	0.000103835901181	3.504342492e-05	-2.19775981936
lineage2_K_resistant	9.55323672061e-05	0.000105984442758	1.14972595124
lineage2_Et_resistant	8.2886652398e-05	9.62189515698e-05	1.2298475925
lineage2_OFL_susceptible	0.000205249223182	3.62360117849e-05	-2.59218418038
lineage2_INH_susceptible	0.000158422658197	3.68202097525e-05	-2.53034865143
lineage2_STR_resistant	0.000202096860994	3.63371167128e-05	-2.53272128181
lineage2_PZA_susceptible	0.000235810867454	3.32087214747e-05	-2.64200066718
lineage2_MOX_resistant	9.31244367687e-05	3.61931708361e-05	-2.09946738393
lineage2_STR_susceptible	0.000170551448051	3.64378801764e-05	-2.55377503904
lineage2_RIF_susceptible	0.000200392989427	3.7085668045e-05	-2.62438050075
lineage2_OFL_resistant	0.00012490564356	3.83070355477e-05	-2.34523705484
lineage2_Et_susceptible	7.20264968398e-05	3.98918916409e-05	-1.80818902378
lineage2_INH_resistant	0.000211944857565	3.56504512889e-05	-2.55722608473
lineage2_AMI_susceptible	0.000150563254063	2.90697809039e-05	-2.52936134546
lineage2_K_susceptible	0.000105406253158	4.9774727092e-05	-1.99207416107
lineage2_CAP_resistant	0.000105111415041	4.87161064573e-05	-1.93175205605
lineage2_PRO_susceptible	0.0001255019919	2.84728109942e-05	-2.48257320391
lineage2_PZA_resistant	0.000144518515065	4.25651418623e-05	-2.34423689054
lineage2_EMB_resistant	0.00016724100425	3.64055533612e-05	-2.50019749965
lineage2_RIF_resistant	0.00019195139031	3.52604890238e-05	-2.52949815979
lineage2_AMI_resistant	7.80110713684e-05	4.19822281975e-05	-1.68591824074
